,,,,,,
,,,,,,
0,HeartTeleport,312,308,,,
0,CombatZoneResizeInstant,239,225,404,391,0
0,HeartMode,1,,,,
0,HeartMaxFallSpeed,500,,,,
0,SET,Roue,12,,,
0,JMPZ,70,$Roue,,,
0,SUB,Roue,$Roue,1,,
0,RND,Stab,4,,,
0,SansHead,NoEyes,,,,
,,,,,,
,,,,,,
,,,,,,
0,JMPNE,21,$Stab,0,,
0,SansBody,HandRight,,,,
0,SansSlam,0,,,,
0.25,BoneStab,0,35,0.25,0.35,
0,BoneStab,1,60,0.20,0.40,
0,BoneStab,3,60,0.20,0.40,
0,JMPNE,27,$Stab,1,,
0,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0.25,BoneStab,1,35,0.25,0.35,
0,BoneStab,0,60,0.20,0.40,
0,BoneStab,2,60,0.20,0.40,
0,JMPNE,33,$Stab,2,,
0,SansBody,HandLeft,,,,
0,SansSlam,2,,,,
0.25,BoneStab,2,35,0.25,0.35,
0,BoneStab,1,60,0.20,0.40,
0,BoneStab,3,60,0.20,0.40,
0,JMPNE,39,$Stab,3,,
0,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0.25,BoneStab,3,35,0.25,0.35,
0,BoneStab,0,60,0.20,0.40,
0,BoneStab,2,60,0.20,0.40,
0.75,JMPABS,8,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
0,EndAttack,,,,,
